"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2025-05-25 ~ 2026-05-24"
"실거래구분 : 아파트(매매)"
"주소구분 : 지번주소"
"시도 : 서울특별시"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","번지","본번","부번","단지명","전용면적(㎡)","계약년월","계약일","거래금액(만원)","동","층","매수자","매도자","건축년도","도로명","해제사유발생일","거래유형","중개사소재지","등기일자"
"1","서울특별시 성북구 정릉동","1028","1028","0000","정릉e-편한세상","85.0000","202605","22","60,000","-","15","개인","개인","2006","솔샘로24길 15","-","직거래","-","-"
"2","서울특별시 중랑구 신내동","838","0838","0000","망우역신원아침도시","48.7980","202605","22","55,800","-","8","개인","개인","2023","용마산로125길 62-28","-","중개거래","서울 중랑구","-"
"3","서울특별시 강남구 도곡동","527","0527","0000","도곡렉슬","134.9023","202605","22","448,000","-","9","개인","개인","2006","선릉로 221","-","중개거래","서울 강남구","-"
"4","서울특별시 동작구 신대방동","395-67","0395","0067","롯데관악타워","172.5100","202605","22","120,000","-","23","개인","개인","1996","보라매로5길 51","-","직거래","-","-"
"5","서울특별시 관악구 신림동","1736","1736","0000","신림2차푸르지오","84.8098","202605","21","73,900","-","6","개인","개인","2007","난곡로 66","-","중개거래","서울 관악구","-"
"6","서울특별시 서초구 잠원동","42-13","0042","0013","대우아이빌","34.7200","202605","21","60,000","-","6","개인","개인","2001","신반포로45길 23","-","중개거래","서울 서초구","-"
"7","서울특별시 영등포구 양평동6가","99","0099","0000","한솔","84.1300","202605","21","88,000","-","17","개인","개인","1999","양평로30길 51","-","중개거래","서울 영등포구","-"
"8","서울특별시 동대문구 휘경동","49-5","0049","0005","서울가든","85.9200","202605","21","60,000","-","10","개인","개인","1985","겸재로 24","-","중개거래","서울 동대문구","-"
"9","서울특별시 중랑구 신내동","657","0657","0000","신내9진흥","33.1800","202605","21","30,000","-","13","개인","개인","1996","신내로 127","-","중개거래","서울 중랑구","-"
"10","서울특별시 동대문구 이문동","84","0084","0000","중앙하이츠빌","84.8100","202605","21","100,000","-","12","개인","개인","2002","외대역동로 101","-","중개거래","서울 동대문구","-"
"11","서울특별시 중랑구 신내동","801","0801","0000","영풍마드레빌","84.8485","202605","21","70,000","-","2","개인","개인","2004","용마산로129가길 41","-","중개거래","서울 중랑구","-"
"12","서울특별시 성북구 정릉동","1021","1021","0000","대우","43.1100","202605","21","34,800","-","7","개인","개인","2001","보국문로30길 15","-","중개거래","서울 성북구","-"
"13","서울특별시 동대문구 장안동","334-6","0334","0006","우성2차아파트(334-6)","84.6700","202605","21","63,000","-","6","개인","개인","2005","장한로26길 67","-","중개거래","서울 동대문구","-"
"14","서울특별시 동대문구 장안동","555-1","0555","0001","한신아파트","84.9000","202605","21","69,300","-","1","개인","개인","1996","사가정로 245-3","-","중개거래","서울 동대문구","-"
"15","서울특별시 종로구 평창동","187-1","0187","0001","그린나래","36.9700","202605","21","39,474","-","2","공공기관","법인","2026","평창문화로 67","-","직거래","-","-"
"16","서울특별시 종로구 평창동","187-1","0187","0001","그린나래","36.6600","202605","21","39,536","-","6","공공기관","법인","2026","평창문화로 67","-","직거래","-","-"
"17","서울특별시 종로구 평창동","187-1","0187","0001","그린나래","36.9700","202605","21","40,252","-","6","공공기관","법인","2026","평창문화로 67","-","직거래","-","-"
"18","서울특별시 종로구 평창동","187-1","0187","0001","그린나래","36.8300","202605","21","40,100","-","6","공공기관","법인","2026","평창문화로 67","-","직거래","-","-"
"19","서울특별시 종로구 평창동","187-1","0187","0001","그린나래","36.7400","202605","21","38,484","-","5","공공기관","법인","2026","평창문화로 67","-","직거래","-","-"
"20","서울특별시 종로구 평창동","187-1","0187","0001","그린나래","36.6600","202605","21","39,536","-","5","공공기관","법인","2026","평창문화로 67","-","직거래","-","-"
"21","서울특별시 종로구 평창동","187-1","0187","0001","그린나래","36.9700","202605","21","40,252","-","5","공공기관","법인","2026","평창문화로 67","-","직거래","-","-"
"22","서울특별시 중구 정동","37","0037","0000","삼정아트테라스정동","14.2664","202605","21","23,000","-","7","개인","개인","2020","서소문로 89-20","-","중개거래","서울 금천구","-"
"23","서울특별시 종로구 평창동","187-1","0187","0001","그린나래","36.8300","202605","21","40,100","-","5","공공기관","법인","2026","평창문화로 67","-","직거래","-","-"
"24","서울특별시 종로구 평창동","187-1","0187","0001","그린나래","36.7400","202605","21","38,280","-","4","공공기관","법인","2026","평창문화로 67","-","직거래","-","-"
"25","서울특별시 종로구 평창동","187-1","0187","0001","그린나래","36.6600","202605","21","39,332","-","4","공공기관","법인","2026","평창문화로 67","-","직거래","-","-"
"26","서울특별시 종로구 평창동","187-1","0187","0001","그린나래","36.9700","202605","21","40,047","-","4","공공기관","법인","2026","평창문화로 67","-","직거래","-","-"
"27","서울특별시 종로구 평창동","187-1","0187","0001","그린나래","36.8300","202605","21","39,895","-","4","공공기관","법인","2026","평창문화로 67","-","직거래","-","-"
"28","서울특별시 종로구 평창동","187-1","0187","0001","그린나래","36.7400","202605","21","38,091","-","3","공공기관","법인","2026","평창문화로 67","-","직거래","-","-"
"29","서울특별시 종로구 평창동","187-1","0187","0001","그린나래","36.6600","202605","21","39,143","-","3","공공기관","법인","2026","평창문화로 67","-","직거래","-","-"
"30","서울특별시 종로구 평창동","187-1","0187","0001","그린나래","36.9700","202605","21","39,856","-","3","공공기관","법인","2026","평창문화로 67","-","직거래","-","-"
"31","서울특별시 종로구 평창동","187-1","0187","0001","그린나래","36.8300","202605","21","39,705","-","3","공공기관","법인","2026","평창문화로 67","-","직거래","-","-"
"32","서울특별시 종로구 평창동","187-1","0187","0001","그린나래","36.7400","202605","21","37,711","-","2","공공기관","법인","2026","평창문화로 67","-","직거래","-","-"
"33","서울특별시 종로구 평창동","187-1","0187","0001","그린나래","36.6600","202605","21","38,793","-","2","공공기관","법인","2026","평창문화로 67","-","직거래","-","-"
"34","서울특별시 종로구 평창동","187-1","0187","0001","그린나래","36.8300","202605","21","39,324","-","2","공공기관","법인","2026","평창문화로 67","-","직거래","-","-"
"35","서울특별시 종로구 익선동","55","0055","0000","현대뜨레비앙","43.9800","202605","21","45,000","-","6","개인","개인","2003","돈화문로11가길 59","-","직거래","-","-"
"36","서울특별시 종로구 평창동","187-1","0187","0001","그린나래","36.7400","202605","21","38,484","-","6","공공기관","법인","2026","평창문화로 67","-","직거래","-","-"
